No,Nama Pesantren,Alamat,Telepon,Desa/Kelurahan,Kecamatan,Kode Pos,Tahun Berdiri,Nama Pimpinan,Kurikulum,Fasilitas,Biaya Masuk (Rp),Biaya Bulanan (Rp)
1,Pondok Pesantren Pabelan,"Jl. Pd. Pabelan, Pabelan Empat, Mungkid",0293-782061,Pabelan,Mungkid,56551,1965,"Ahmad Mustofa, SH, KH","Modern (KMI)","Masjid, Asrama, Gedung Sekolah, Perpustakaan, Lab Komputer, Lab Bahasa, Klinik Kesehatan, Studio Musik","5.000.000 - 8.000.000","1.000.000 - 1.500.000"
2,Gontor 6 Darul Qiyam,"Gadingsari, Mangunsari, Sawangan",0293-3219080,Sawangan,Sawangan,56551,1926,"Syamsuddin Basyir, M.Pd.H","Modern (KMI Gontor)","Asrama Modern, Masjid, Lab Bahasa, Lab Komputer, Perpustakaan, Lapangan Olahraga, Klinik Kesehatan","8.000.000 - 12.000.000","1.500.000 - 2.000.000"
3,API Tegalrejo,"Krajan, Tegalrejo",0293-362903,,Tegalrejo,56511,1944,"Mudrik CH, KH","Salaf Kombinasi","Asrama, Masjid, Madrasah, SMP, SMK, Pusat Grosir, Klinik Kesehatan","2.000.000 - 8.500.000","500.000"
4,Pondok Pesantren Al Iman,"Jl. Talun Patosan, Sedayu, Muntilan","0293-587367; WhatsApp 62811257367",Sedayu,Muntilan,56511,1942,"Muh. Zuhaery, MA, K","Salaf Modern","Asrama, Masjid, Sekolah Formal, Perpustakaan","8.150.000 - 8.400.000","850.000"
5,Minhajus Sunnah,"Batikan, Pabelan, Mungkid",,Pabelan,Mungkid,,,"Muhammad Ibnu Sam","Salaf Modern","Masjid, Asrama, Perpustakaan, Madrasah, Koperasi","2.000.000 - 4.000.000","400.000 - 600.000"
6,Al Mushhafiyah,"Pendem, Ngadirejo",,Ngadirejo,Mungkid,,,"Baehaqi Mustofa, K","Salaf","Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
7,Al Hidayat,"Kedunglumpang",,Kedunglumpang,Mungkid,,,"Ahmad Lazim, S.Pd.I","Salaf","Masjid, Asrama","1.000.000 - 1.500.000","150.000 - 300.000"
8,An Najach,"Koripan, Dawung",,Dawung,Magelang,,,"Abdul Mukti, KH","Salaf","Masjid, Asrama","1.000.000 - 2.000.000","150.000 - 400.000"
9,Al Asyraf,"Sengon, Trasan",,Trasan,Mагылang,,,"Asyhuri Abdul Hadi, KH","Salaf","Masjid, Asrama","1.500.000 - 3.000.000","300.000 - 600.000"
10,Roudlotut Thullab,"Wonosari, Prajegsari",,Prajegsari,Magelang,,,"Kyai Haji Ahmad Sa'id Asrori","Salaf","Masjid, Asrama","1.000.000 - 2.500.000","150.000 - 350.000"
11,Sepuh Payaman,"Payaman",,,Payaman,,"-","Salaf","Masjid, Asrama","1.000.000 - 2.000.000","200.000"
